,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,26.307158,0.5155012607574463,4.75,21.006192067672398,23.493185,-0.00038900884,-0.026307158,23.86
1,1/2016,0.0,31.202862,0.6308165788650513,4.66,21.008695691176527,23.382206,-0.0004614025,-0.031202862,23.4925
2,1/2016,0.0,121.24171,2.5145838260650635,4.57,21.009310314249817,25.001184,-0.0017928235,-0.1212417,23.125
3,1/2016,0.0,51.87624,1.081926941871643,4.4799999999999995,21.00847517362292,23.613167,-0.0007671036,-0.05187624,22.7575
4,1/2016,0.0,143.85811,2.9649739265441895,4.39,21.006739340541493,25.291723,-0.0021272565,-0.1438581,22.39
5,1/2016,0.0,158.62793,3.2422385215759277,4.3,21.005505637820356,25.591599,-0.0023456605,-0.15862793,21.94
6,1/2016,0.0,153.81818,3.138030230998993,4.21,21.004766760030755,25.542683,-0.002274538,-0.15381818,21.490000000000002
7,1/2016,0.0,193.32571,3.8756895661354065,4.12,21.00483480182005,26.284605,-0.002858743,-0.19332571,21.04
8,1/2016,0.0,133.88014,2.726977586746216,4.03,21.00525436549471,25.272583,-0.0019797105,-0.13388014,20.59
9,1/2016,0.0,167.47173,3.36815482378006,3.9400000000000004,21.0056734805519,25.875208,-0.0024764354,-0.16747172,19.645
10,1/2016,0.0,60.38197,1.2371889352798462,3.85,21.005061084488453,23.875422,-0.0008928794,-0.06038197,18.7
11,1/2016,0.0,151.21762,3.0552307963371277,3.76,21.003446610674274,25.488201,-0.0022360831,-0.15121762,17.755
12,1/2016,0.0,138.66225,2.805085301399231,3.67,21.00186712979472,25.275509,-0.0020504245,-0.13866225,16.81
13,1/2016,0.0,156.97989,3.146389603614807,3.5324999999999998,21.000230922197925,25.60616,-0.0023212908,-0.15697989,16.96
14,1/2016,0.0014244811060635243,147.35988,2.9512771368026733,3.395,20.998575518893936,25.448557,-0.0021895699,-0.14807212,17.11
15,1/2016,0.0037718060636215966,107.07281,2.1618812084198,3.2575000000000003,20.99622819393638,24.703712,-0.0016111927,-0.10895871,17.259999999999998
16,1/2016,0.0066347692127521896,154.66806,3.0754305124282837,3.12,20.993365230787248,25.527058,-0.00233616,-0.15798545,17.41
17,1/2016,0.009791054637915408,126.87836,2.534832715988159,2.9825,20.990208945362085,25.03423,-0.0019485647,-0.13177387,17.3125
18,1/2016,0.01305031146297253,169.45682,3.3313795924186707,2.8449999999999998,20.986949688537027,25.776402,-0.0026022783,-0.17598198,17.215
19,1/2016,0.015894157408645526,176.6269,3.4483659267425537,2.7075,20.984105842591354,25.93056,-0.0027293297,-0.18457398,17.1175
20,1/2016,0.01931100613368031,99.78804,1.9830840826034546,2.57,20.98068899386632,24.573856,-0.001618362,-0.109443545,17.02
21,1/2016,0.023432090204611455,157.01445,3.069689154624939,2.4325,20.97656790979539,25.541985,-0.0024950493,-0.1687305,16.73
22,1/2016,0.026849670338311427,217.96599,4.15532523393631,2.295,20.97315032966169,26.599787,-0.0034216188,-0.23139082,16.439999999999998
23,1/2016,0.030083521705620342,132.76517,2.5879043340682983,2.1574999999999998,20.96991647829438,25.198112,-0.0021856488,-0.14780694,16.15
24,1/2016,0.03367322117231453,172.25143,3.310084819793701,2.02,20.966326778827685,25.855762,-0.00279608,-0.18908805,15.86
25,1/2016,0.036879428051257435,138.74232,2.699401617050171,2.1425,20.963120571948743,25.296494,-0.0023242799,-0.15718204,16.435
26,1/2016,0.03984654512591845,157.43741,3.0567559003829956,2.2649999999999997,20.96015345487408,25.613691,-0.0026226654,-0.17736068,17.009999999999998
27,1/2016,0.04317906182688347,90.01875,1.7822277545928955,2.3874999999999997,20.956820938173117,24.399366,-0.0016503725,-0.11160829,17.585
28,1/2016,0.04624934107550516,195.13425,3.7707345485687256,2.51,20.953750658924495,26.20982,-0.003227435,-0.21825892,18.16
29,1/2016,0.04886332520441172,112.06963,2.2240183353424072,2.635,20.95113667479559,24.799328,-0.00201847,-0.1365013,18.052500000000002
30,1/2016,0.05121984304359373,172.26857,3.3730174899101257,2.76,20.948780156956406,25.84204,-0.002926066,-0.1978785,17.945
31,1/2016,0.0522126300445116,207.20845,4.013281345367432,2.885,20.94778736995549,26.491568,-0.0034500686,-0.23331477,17.8375
32,1/2016,0.0532703598914388,72.86692,1.4620270729064941,3.01,20.94672964010856,24.130903,-0.001471356,-0.0995021,17.73
33,1/2016,0.055122774849365896,130.31682,2.6081310510635376,3.1325,20.944877225150634,25.104927,-0.0023345742,-0.1578782,18.240000000000002
34,1/2016,0.05666148541968141,151.22664,3.0174293518066406,3.255,20.94333851458032,25.47607,-0.0026551483,-0.17955738,18.75
35,1/2016,0.05820265138430969,106.509384,2.1576426029205322,3.3775,20.94179734861569,24.666319,-0.0020053007,-0.13561071,19.259999999999998
36,1/2016,0.05991275577695987,129.70624,2.62325119972229,3.5,20.94008724422304,25.057999,-0.0023609605,-0.1596626,19.77
37,1/2016,0.06003607671404154,240.87663,4.71041876077652,3.76,20.940276911579556,27.04288,-0.0040057697,-0.27089468,20.765
38,1/2016,0.05972308842044427,128.21678,2.611760973930359,4.02,20.94206106978535,25.181702,-0.0023375335,-0.15807833,21.759999999999998
39,1/2016,0.05793893021465024,163.56314,3.3164801001548767,4.28,20.94450262942505,25.825607,-0.0028470154,-0.19253261,22.755
40,1/2016,0.05549737057495108,119.13032,2.461293339729309,4.54,20.947460678055734,25.034409,-0.0021719271,-0.146879,23.75
41,1/2016,0.05253932194426625,85.23623,1.7870503664016724,4.8,20.950002948457673,24.348787,-0.0016488583,-0.11150589,24.32
42,1/2016,0.04999705154232714,174.5084,3.595063626766205,5.0600000000000005,20.953051185119715,25.992859,-0.002950146,-0.19950694,24.89
43,1/2016,0.04694881488028457,85.637215,1.81794011592865,5.32,20.956546080852462,24.354607,-0.0016134538,-0.10911162,25.46
44,1/2016,0.043453919147538045,140.3952,2.9621232748031616,5.58,20.960195039896323,25.369793,-0.0023973307,-0.16212218,26.03
45,1/2016,0.039804960103676734,99.153275,2.1283786296844482,5.84,20.96420636628563,24.589619,-0.0017604996,-0.119055755,26.2875
46,1/2016,0.03579363371436983,150.16434,3.195323646068573,6.1,20.968811543487323,25.563316,-0.0024851514,-0.16806115,26.545
47,1/2016,0.031188456512676765,144.6884,3.0977693796157837,6.36,20.974585127897903,25.50993,-0.0023701289,-0.16028263,26.8025
48,1/2016,0.025414872102096808,77.730965,1.702466368675232,6.62,20.9804819356268,24.203108,-0.0013373293,-0.090438396,27.06
49,1/2016,0.019518064373201582,109.58866,2.386136770248413,6.5275,20.985236379238188,24.777338,-0.0017648165,-0.11934769,26.9425
50,1/2016,0.014763620761812035,165.8912,3.5376105308532715,6.4350000000000005,20.990135912322554,25.861671,-0.0025622202,-0.17327301,26.825
51,1/2016,0.009864087677446065,122.76117,2.6470531225204468,6.3425,20.995233670535058,25.081926,-0.0018882231,-0.1276932,26.7075
52,1/2016,0.004766329464942487,95.88387,2.079613208770752,6.25,20.999568003267115,24.535517,-0.0014530929,-0.09826704,26.59
53,1/2016,0.0004319967328854091,50.112526,1.0886685848236084,6.1575,21.002236793421574,23.5423,-0.00074421725,-0.050328527,26.1925
54,1/2016,0.0,121.01185,2.6109284162521362,6.0649999999999995,21.003847956195923,24.885237,-0.0017894246,-0.121011846,25.795
55,1/2016,0.0,195.76399,4.096869885921478,5.9725,21.00639392860095,26.323057,-0.0028947985,-0.19576399,25.3975
56,1/2016,0.0,59.22857,1.280045986175537,5.88,21.00876317120435,23.754393,-0.00087582384,-0.05922857,25.0
57,1/2016,0.0,122.834724,2.629663825035095,5.7875,21.010145391472065,24.943655,-0.0018163798,-0.12283473,24.8575
58,1/2016,0.0,142.92851,3.031324803829193,5.695,21.01171702076236,25.341105,-0.0021135104,-0.14292851,24.715
59,1/2016,0.0,63.265144,1.362614393234253,5.6025,21.012574787947933,23.78652,-0.0009355134,-0.063265145,24.572499999999998
60,1/2016,0.0,118.27663,2.524067759513855,5.51,21.01254977702588,24.808676,-0.0017489784,-0.118276626,24.43
61,1/2016,0.0,108.376144,2.309587240219116,5.324999999999999,21.012043185138204,24.613533,-0.0016025782,-0.108376145,25.54
62,1/2016,0.0,73.09505,1.56390380859375,5.14,21.01044998088545,23.892694,-0.00108087,-0.073095046,26.65
63,1/2016,0.0,194.80559,4.001671850681305,4.955,21.00900162470697,26.162193,-0.0028806264,-0.19480559,27.76
64,1/2016,0.0,131.74713,2.748395562171936,4.77,21.008252160107663,25.0919,-0.0019481692,-0.13174713,28.87
65,1/2016,0.0,179.46669,3.6636162400245667,4.5874999999999995,21.00788776707751,25.984987,-0.0026538074,-0.1794667,31.0125
66,1/2016,0.0,140.11276,2.8818494081497192,4.404999999999999,21.00782640244846,25.321089,-0.0020718733,-0.14011276,33.155
67,1/2016,0.0,114.74168,2.3676159381866455,4.2225,21.00716057044026,24.843327,-0.0016967064,-0.114741676,35.2975
68,1/2016,0.0,154.35867,3.1357895135879517,4.04,21.006107009589158,25.551847,-0.0022825303,-0.15435867,37.44
69,1/2016,0.0,113.47906,2.322821259498596,3.8575,21.00458967204742,24.80882,-0.0016780358,-0.113479055,37.4325
70,1/2016,0.0,94.85546,1.9446651935577393,3.675,21.001883882850787,24.4159,-0.0014026453,-0.09485546,37.425
71,1/2016,0.0008687000941804968,195.96506,3.8811312317848206,3.4925,20.99913129990582,26.21271,-0.0029041944,-0.1963994,37.4175
72,1/2016,0.003728041347411448,103.43437,2.095792293548584,3.31,20.99627195865259,24.60151,-0.0015570668,-0.10529839,37.41
73,1/2016,0.006414182604530083,210.83127,4.1166239976882935,3.1575,20.99358581739547,26.484343,-0.0031650248,-0.21403836,36.8925
74,1/2016,0.009176868721315401,99.265526,1.9946801662445068,3.005,20.990823131278685,24.562073,-0.0015357077,-0.103853956,36.375
75,1/2016,0.013031136568436352,122.354576,2.4423125982284546,2.8525,20.986968863431564,24.92402,-0.0019056267,-0.12887014,35.8575
76,1/2016,0.017085198987594197,164.92398,3.2396128177642822,2.7,20.982914801012406,25.662397,-0.0025650824,-0.17346658,35.34
77,1/2016,0.021142474341704798,145.11357,2.8555859327316284,2.545,20.978857525658295,25.333263,-0.0023021402,-0.15568481,34.7725
