#{"t_start": 1648814550.0708835, "env_id": null}
r,l,t
-14000.069991,2880,10.320895
-12320.067138,2880,20.629278
-5559.900714,2880,32.683285
-8666.096323,2880,42.988916
-5374.370018,2880,55.045804
-14115.040529,2880,65.366007
-7818.333204,2880,95.280133
-13023.799754,2880,107.350194
-7058.966405,2880,117.652975
-5423.935088,2880,129.710305
-10401.332619,2880,140.009776
-11040.921655,2880,150.315849
-13063.81721,2880,162.382532
-11076.867302,2880,192.279188
-12149.813464,2880,204.340487
-11751.780845,2880,214.643264
-7716.412911,2880,224.946741
-5333.773021,2880,237.008382
-8252.444765,2880,247.305282
-7887.081936,2880,259.366869
-10098.97787,2880,289.276781
-1431.619048,2880,299.588222
-4916.468345,2880,311.660027
-5283.821891,2880,321.96648
-3724.831385,2880,334.035179
-2498.475345,2880,344.339374
-997.055679,2880,354.647338
-4684.306147,2880,386.354408
-883.888622,2880,396.663537
-1951.671544,2880,408.72949
-2143.348,2880,419.032446
-2085.231585,2880,429.337803
-3189.703449,2880,441.402309
-758.469487,2880,451.705972
-3894.584469,2880,483.374122
-1769.744732,2880,493.6882
-2991.405804,2880,505.74394
-1638.281909,2880,516.044075
-2916.607253,2880,526.342685
-1528.549316,2880,538.399905
-3977.71927,2880,548.701343
-2499.020626,2880,580.339726
-1554.618555,2880,590.635405
-3039.702058,2880,600.92641
-2064.829197,2880,612.984908
-3148.560942,2880,623.276082
-1521.838107,2880,635.333313
-3862.081065,2880,645.633323
-2557.920756,2880,675.522544
-701.913012,2880,687.578718
-2936.22954,2880,697.884167
-2031.412132,2880,709.935439
-3036.28129,2880,720.23404
-1564.341117,2880,730.529677
-569.880745,2880,742.574714
-2417.632046,2880,772.487661
-681.231393,2880,784.541264
-2562.860969,2880,794.843248
-1974.735449,2880,805.139011
-1523.698953,2880,817.197516
-1431.36564,2880,827.489763
-551.185918,2880,839.554257
-2365.042162,2880,869.495861
-1385.5416,2880,879.803219
-2528.920946,2880,891.860629
-1472.297197,2880,902.161095
-2893.158308,2880,914.223203
-590.620603,2880,924.522397
-3328.332463,2880,936.581106
-4987.247983,2880,966.506269
-1536.680329,2880,976.808217
-2711.687973,2880,988.875372
-1572.246071,2880,999.182215
-2883.978597,2880,1011.232878
-560.002812,2880,1021.523909
-3410.044283,2880,1031.824256
-2449.410901,2880,1063.511126
-1450.250683,2880,1073.81557
-2633.412489,2880,1085.885044
-1484.546192,2880,1096.17783
-2895.226748,2880,1106.477722
-1423.765433,2880,1118.531621
-3449.105494,2880,1128.826959
-2393.637134,2880,1160.477371
-1367.519204,2880,1170.778131
-2634.564581,2880,1181.067338
-1897.100856,2880,1193.115134
-2915.014265,2880,1203.406973
-1395.511746,2880,1215.457569
-3393.756727,2880,1225.749744
-2291.40035,2880,1255.651669
-1326.642196,2880,1267.702078
-1646.971287,2880,1277.985556
-1443.298072,2880,1290.032424
-1368.345782,2880,1300.324854
-517.545171,2880,1310.604885
-3315.797104,2880,1322.656052
-4948.698648,2880,1352.569417
-1311.693423,2880,1364.612882
-1589.784987,2880,1374.909989
-1406.634256,2880,1386.959138
-1346.81701,2880,1397.246776
-519.812465,2880,1407.52282
-3313.763272,2880,1419.569667
-4961.012273,2880,1449.496997
-1314.270858,2880,1461.549145
-1625.439688,2880,1471.84326
-1419.117749,2880,1482.136312
-2751.44625,2880,1494.183347
-511.403468,2880,1504.465887
-3183.368229,2880,1516.513169
-4818.626574,2880,1546.477535
-1302.001312,2880,1556.773998
-2420.163198,2880,1568.825018
-1393.260836,2880,1579.118869
-2677.878198,2880,1591.160997
-506.445159,2880,1601.449552
-3127.363238,2880,1611.743649
-2148.830731,2880,1643.411169
-2406.429595,2880,1653.709893
-1756.766329,2880,1665.765731
-2681.833949,2880,1676.06236
-1321.702825,2880,1686.354081
-509.114001,2880,1698.396964
-2142.032533,2880,1728.312038
-633.92067,2880,1740.369448
-2368.609449,2880,1750.662157
-1742.4451,2880,1760.954814
-1389.092103,2880,1772.99732
-1318.030635,2880,1783.290952
-506.446886,2880,1795.320478
-2191.790148,2880,1825.273137
-626.922397,2880,1837.330525
-2445.4179,2880,1847.631732
-1778.973839,2880,1857.920008
-1401.611447,2880,1869.974951
-1311.107644,2880,1880.265702
-508.759133,2880,1892.309231
-2189.222577,2880,1922.268745
-623.167869,2880,1932.568425
-1297.844022,2880,1944.626464
-1590.464917,2880,1954.927377
-1399.759665,2880,1966.979326
-1333.141315,2880,1977.268929
-514.179211,2880,1987.554859
-3202.44258,2880,2019.277076
-623.584993,2880,2029.572221
-1300.552753,2880,2041.631027
-1602.337648,2880,2051.928582
-1403.030185,2880,2062.228471
-2714.166499,2880,2074.276092
-504.451241,2880,2084.557601
-3186.048426,2880,2116.226054
-1288.394021,2880,2126.522682
-2454.398134,2880,2136.819461
-1774.926937,2880,2148.870581
-2708.116608,2880,2159.171037
-1324.363513,2880,2171.2184
-3147.212384,2880,2181.504934
-2176.905377,2880,2211.438004
-615.698352,2880,2223.484349
-2434.919974,2880,2233.775236
-1762.826147,2880,2245.878088
-2710.225893,2880,2256.17871
-1320.888037,2880,2268.232621
-3159.655282,2880,2278.546938
-2171.214162,2880,2308.490113
-614.614753,2880,2320.556084
-2415.916658,2880,2330.85377
-1756.566244,2880,2342.910668
-2710.693287,2880,2353.216071
-1318.871276,2880,2363.530565
-501.688213,2880,2375.580812
-2164.892513,2880,2405.532416
-613.458914,2880,2417.595257
-2415.328737,2880,2427.899474
-1765.509835,2880,2438.215026
-1384.336312,2880,2450.284595
-1330.527337,2880,2460.591193
-500.873538,2880,2472.65064
-2196.984376,2880,2502.579857
-1287.853128,2880,2512.875742
-2431.165517,2880,2524.942992
-1382.846072,2880,2535.247263
-2698.492965,2880,2547.302704
-500.234709,2880,2557.590379
-3189.582645,2880,2567.897799
-2188.065396,2880,2599.61881
-1282.729372,2880,2609.925698
-2419.255246,2880,2621.98785
-1378.751775,2880,2632.294381
-2683.8638,2880,2642.599893
-1324.730839,2880,2654.66854
-3216.997342,2880,2664.979898
-2230.873625,2880,2696.676046
-1299.800351,2880,2706.974434
-2468.183033,2880,2719.029894
-1402.652837,2880,2729.33199
-2764.418154,2880,2739.634823
-1344.673374,2880,2751.698604
-3222.761784,2880,2761.999637
-2232.085252,2880,2793.689393
-1297.534724,2880,2803.994923
-2465.942709,2880,2814.292871
-1772.411194,2880,2826.34503
-2731.731185,2880,2836.638079
-1338.584703,2880,2848.700414
-3209.359976,2880,2859.005064
-2200.762506,2880,2888.911271
-1280.518182,2880,2900.965862
-1566.783324,2880,2911.254466
-1388.853377,2880,2923.301033
-1323.299368,2880,2933.595809
-500.49861,2880,2943.887237
-3204.061018,2880,2955.945761
-4851.581842,2880,2985.929296
-1295.494476,2880,2997.979946
-1590.609182,2880,3008.276683
-1401.807633,2880,3018.574274
-2764.590384,2880,3030.634217
-501.996723,2880,3040.91872
-3255.586664,2880,3052.978916
-4862.354993,2880,3082.953253
-1294.423125,2880,3093.249298
-2457.444977,2880,3105.302307
-1401.865895,2880,3115.601421
-2756.332927,2880,3127.653489
-502.918471,2880,3137.942559
-3263.176002,2880,3149.999561
-4898.243228,2880,3179.974767
-1307.372061,2880,3190.282909
-2504.080634,2880,3202.344171
-1413.303547,2880,3212.653504
-2806.608566,2880,3224.706866
-506.416968,2880,3234.998389
-3312.716056,2880,3245.302572
-2292.839192,2880,3276.999975
-2543.793719,2880,3287.299157
-1829.973818,2880,3299.347615
-2836.195293,2880,3309.653934
-1357.312699,2880,3319.948251
-506.448245,2880,3331.988691
-2264.461727,2880,3342.288271
-4923.88253,2880,3373.950413
-2503.380564,2880,3384.253624
-1795.960986,2880,3394.555254
-1404.161172,2880,3406.619424
-1338.219284,2880,3416.921009
-502.483699,2880,3428.976345
-2195.418703,2880,3458.950088
-606.527442,2880,3469.23876
-1275.494964,2880,3481.301275
-1570.456541,2880,3491.599065
-1381.852636,2880,3503.657428
-1317.989856,2880,3513.959035
-497.176023,2880,3524.248794
-3161.593691,2880,3555.974251
-609.390872,2880,3566.278435
-1275.733557,2880,3578.333994
-1556.811738,2880,3588.631642
-1372.029519,2880,3600.683302
-1304.535362,2880,3610.984372
-495.145029,2880,3621.273503
-3129.5777,2880,3652.963637
-607.409285,2880,3663.262864
-1276.602598,2880,3675.307095
-1566.647822,2880,3685.601428
-1381.396383,2880,3695.892484
-2663.732354,2880,3707.950945
