#{"t_start": 1648721618.702537, "env_id": null}
r,l,t
-7657.713162,2880,10.239544
-7868.28445,2880,21.77444
-5962.138361,2880,34.288856
-4989.576267,2880,45.578602
-9086.372378,2880,56.921072
-4166.462635,2880,67.072285
-3778.51464,2880,99.10029
-5168.330506,2880,109.611849
-3658.394805,2880,119.385414
-2187.467447,2880,129.956126
-2508.730842,2880,140.075987
-1373.283396,2880,150.35088
-4171.440546,2880,161.626593
-5532.965249,2880,195.859156
-10193.485978,2880,207.480457
-9272.132423,2880,217.759952
-6241.816377,2880,227.591113
-9026.517698,2880,237.970033
-3066.905911,2880,247.451657
-7102.993705,2880,258.243024
-6465.327578,2880,293.561542
-8792.586255,2880,304.747583
-7573.809275,2880,315.832962
-3469.617179,2880,325.62199
-4653.800036,2880,335.694653
-1996.32208,2880,345.204048
-3090.778036,2880,354.97949
-2442.268012,2880,388.742225
-6454.318983,2880,399.185966
-7687.706543,2880,410.214191
-2161.632706,2880,420.180529
-5549.276265,2880,429.922662
-2789.648313,2880,440.438988
-6165.225021,2880,450.240953
-1342.534282,2880,483.886928
-9949.194499,2880,494.343228
-8237.565086,2880,505.541704
-7227.302338,2880,515.44374
-2027.204893,2880,525.216567
-1817.233455,2880,535.475089
-1579.762439,2880,544.968742
-7019.223035,2880,579.817927
-10597.805038,2880,590.273376
-8244.998099,2880,600.701461
-3226.168453,2880,611.445434
-2942.704688,2880,621.234709
-1874.383218,2880,631.763549
-1353.251009,2880,641.534573
-5985.923677,2880,673.675652
-9356.746676,2880,684.594147
-7292.647512,2880,694.964636
-2972.072592,2880,707.01819
-1452.229488,2880,718.229039
-1534.932126,2880,728.531864
-5827.917037,2880,739.079427
-5168.534569,2880,770.701491
-8236.710585,2880,781.960943
-6088.457516,2880,792.415661
-2244.880445,2880,802.885626
-4281.012789,2880,813.920657
-1493.518402,2880,824.003994
-3390.295458,2880,834.879973
-2931.763578,2880,869.938174
-4943.916103,2880,880.460511
-3459.159564,2880,891.087682
-3200.470218,2880,900.470254
-985.209727,2880,910.365203
-2948.773874,2880,919.711159
-1164.727709,2880,930.88048
-1878.58782,2880,966.417141
-4738.716962,2880,976.048054
-3338.06912,2880,986.039204
-3286.91588,2880,995.232752
-797.873171,2880,1005.431043
