,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
13117,11/2016,0.0,11.006451,0.23059415817260742,3.6999999999999997,21.058620113495405,22.870346,-0.00011820375,-0.01100645,42.2125
13118,11/2016,0.0,131.83577,2.6687700748443604,3.62,21.056415435334536,25.181925,-0.00141585,-0.13183577,41.465
13119,11/2016,0.0,70.74276,1.4671025276184082,3.54,21.05394730351855,24.031858,-0.0007597417,-0.070742756,40.7175
13120,11/2016,0.0,224.71504,4.36110645532608,3.46,21.051340195399966,26.790102,-0.0024133269,-0.22471504,39.97
13121,11/2016,0.0,88.93145,1.823823094367981,3.3825,21.048624385752255,24.376451,-0.00095507916,-0.08893145,38.427499999999995
13122,11/2016,0.0,121.77822,2.459061026573181,3.3049999999999997,21.045671023803937,24.976566,-0.001307837,-0.12177822,36.885
13123,11/2016,0.0,67.62081,1.3946099281311035,3.2275,21.042454709511237,23.955944,-0.0007262136,-0.067620814,35.3425
13124,11/2016,0.0,89.07501,1.8182090520858765,3.15,21.038937884014064,24.350056,-0.00095662096,-0.089075014,33.8
13125,11/2016,0.0,76.30618,1.5633891820907593,3.07,21.03513227634461,24.098768,-0.00081949006,-0.07630618,33.62
13126,11/2016,0.0,90.343796,1.837348222732544,2.99,21.03104614554769,24.351294,-0.000970247,-0.090343796,33.44
13127,11/2016,0.0,82.02209,1.6712336540222168,2.91,21.026693126033162,24.185167,-0.00088087603,-0.082022086,33.26
13128,11/2016,0.0,84.64339,1.720043420791626,2.83,21.022071200749757,24.223316,-0.0009090275,-0.08464339,33.08
13129,11/2016,0.0,27.392399,0.569091796875,2.9175,21.01756043994492,23.114109,-0.00029418062,-0.027392399,32.845
13130,11/2016,0.0,31.219769,0.649834156036377,3.005,21.013087525801748,23.173717,-0.00033528465,-0.03121977,32.61
13131,11/2016,0.0,0.26528242,0.0,3.0925000000000002,21.008615175243854,22.535242,0.0,0.0,32.375
13132,11/2016,0.0,142.62225,2.854271650314331,3.18,21.004300652785318,25.243929,-0.0015316914,-0.14262225,32.14
13133,11/2016,0.0,170.11768,3.3711490631103516,3.265,21.00036681062151,25.74049,-0.0018269785,-0.17011768,29.6275
13134,11/2016,0.0032468506635012773,104.01208,2.123604655265808,3.35,20.9967531493365,24.553236,-0.0011344723,-0.1056355,27.115000000000002
13135,11/2016,0.006780430824388617,0.2628955,0.0,3.435,20.99321956917561,22.51729,-3.6409212e-05,-0.0033902153,24.6025
13136,11/2016,0.01037852590237165,0.25920075,0.0,3.52,20.98962147409763,22.4953,-5.5730077e-05,-0.005189263,22.09
13137,11/2016,0.013979113918054509,33.872818,0.7158164978027344,3.6075,20.986020886081945,23.158403,-0.0004388414,-0.040862374,19.9825
13138,11/2016,0.01753216495827914,32.011692,0.678413987159729,3.6950000000000003,20.98246783504172,23.107134,-0.00043793282,-0.040777773,17.875
13139,11/2016,0.021046011049758562,26.675106,0.5672410726547241,3.7825,20.97895398895024,22.985146,-0.00039948904,-0.03719811,15.7675
13140,11/2016,0.024492179411844006,49.818047,1.0547804832458496,3.87,20.975507820588156,23.435198,-0.0006665377,-0.062064137,13.66
13141,11/2016,0.028010139686667657,0.24582478,0.0,3.92,20.971989860313332,22.413956,-0.00015040742,-0.01400507,13.65
13142,11/2016,0.03166762088895325,0.24259643,0.0,3.97,20.968332379111047,22.393152,-0.00017004718,-0.01583381,13.64
13143,11/2016,0.03545788358984936,0.23943435,0.0,4.0200000000000005,20.96454211641015,22.372597,-0.00019039994,-0.017728942,13.629999999999999
13144,11/2016,0.039374402050430746,0.2363563,0.0,4.07,20.96062559794957,22.352285,-0.00021143067,-0.019687202,13.62
13145,11/2016,0.04341759505409826,0.23332039,0.0,4.1175,20.9565824049459,22.33221,-0.00023314159,-0.021708798,13.879999999999999
13146,11/2016,0.04758122974103074,0.23036739,0.0,4.165,20.95241877025897,22.312368,-0.00025549927,-0.023790615,14.14
13147,11/2016,0.051859281194101214,0.22746068,0.0,4.2125,20.9481407188059,22.292753,-0.00027847133,-0.025929641,14.4
13148,11/2016,0.05624591354549224,0.22465429,0.0,4.26,20.943754086454508,22.273361,-0.00030202643,-0.028122956,14.66
13149,11/2016,0.06072876464143917,0.22188115,0.0,4.31,20.93927123535856,22.254187,-0.00032609823,-0.030364383,14.3975
13150,11/2016,0.06530250591085718,0.21918976,0.0,4.359999999999999,20.934697494089143,22.235226,-0.00035065808,-0.032651253,14.135
13151,11/2016,0.0699619827522433,0.2165436,0.0,4.41,20.930038017247757,22.216473,-0.00037567827,-0.03498099,13.872499999999999
13152,11/2016,0.07468292551904199,12.801224,0.277754545211792,4.46,20.925317074480958,22.463654,-0.0005385073,-0.050142687,13.61
13153,11/2016,0.07940762189821982,0.21168149,0.0,4.53,20.92059237810178,22.181892,-0.00042639903,-0.039703812,13.6175
13154,11/2016,0.08415205761608391,0.20904186,0.0,4.6,20.915847942383916,22.163706,-0.00045187544,-0.04207603,13.625
13155,11/2016,0.0889126720153186,0.20652065,0.0,4.67,20.91108732798468,22.145716,-0.00047743876,-0.044456337,13.6325
13156,11/2016,0.09368601802598064,0.20395638,0.0,4.74,20.90631398197402,22.127914,-0.0005030704,-0.046843007,13.64
13157,11/2016,0.09846203884819715,0.20153426,0.0,4.8125,20.901537961151803,22.110304,-0.0005287164,-0.04923102,11.65
13158,11/2016,0.10323764366302157,0.1990335,0.0,4.885,20.89676235633698,22.092876,-0.0005543603,-0.051618822,9.66
13159,11/2016,0.10800984207538988,0.19668522,0.0,4.9575000000000005,20.89199015792461,22.075634,-0.0005799858,-0.054004923,7.67
13160,11/2016,0.11277574532517676,0.19434692,0.0,5.03,20.887224254674823,22.05857,-0.0006055774,-0.05638787,5.68
13161,11/2016,0.11750160711200408,24.4974,0.542709231376648,5.1,20.882498392887996,22.560898,-0.00089404394,-0.083248205,4.51
13162,11/2016,0.1221863853491243,0.1904285,0.0,5.17,20.877813614650876,22.029503,-0.00065611023,-0.061093193,3.34
13163,11/2016,0.1268657053623592,0.18819785,0.0,5.24,20.87313429463764,22.012901,-0.00068123697,-0.06343285,2.17
13164,11/2016,0.1315368483797812,0.18588826,0.0,5.31,20.86846315162022,21.99647,-0.0007063198,-0.06576842,1.0
13165,11/2016,0.13545067021930635,0.18264602,0.0,5.6575,20.864549329780694,21.98021,-0.00072733616,-0.06772534,0.7475
13166,11/2016,0.13859961061469406,12.215504,0.2762289047241211,6.005,20.861400389385306,22.228394,-0.0008754335,-0.081515305,0.495
13167,11/2016,0.14098190673498578,8.8406,0.20073044300079346,6.3525,20.859018093265014,22.142563,-0.0008519811,-0.079331554,0.24249999999999994
13168,11/2016,0.1426286578928817,0.1731574,0.0,6.7,20.85737134210712,21.936447,-0.0007658801,-0.07131433,-0.01
13169,11/2016,0.14345484060218183,73.84609,1.6773648262023926,7.045,20.856545159397818,23.525621,-0.0015633865,-0.14557351,2.0025
13170,11/2016,0.14347605617271952,0.16831128,0.0,7.390000000000001,20.85652394382728,21.919504,-0.00077043043,-0.07173803,4.015
13171,11/2016,0.14347605617271952,101.19992,2.3027665615081787,7.735,20.85733931104624,24.107227,-0.0018572668,-0.17293794,6.0275
13172,11/2016,0.14266068895376094,0.16391882,0.0,8.08,20.858974446550196,21.908243,-0.0007660521,-0.071330346,8.04
13173,11/2016,0.14102555344980416,97.2966,2.249628782272339,8.4275,20.861420636955753,24.045315,-0.0018021886,-0.16780938,7.449999999999999
13174,11/2016,0.13857936304424712,0.15905865,0.0,8.775,20.864662001628446,21.896933,-0.00074413646,-0.069289684,6.859999999999999
13175,11/2016,0.13533799837155414,14.750038,0.35756170749664307,9.1225,20.868556215725054,22.224081,-0.0008851391,-0.08241904,6.27
13176,11/2016,0.1314437842749463,54.56951,1.315199375152588,9.47,20.873185811142243,23.128578,-0.0012918693,-0.120291404,5.68
13177,11/2016,0.12681418885775742,34.972237,0.8529024124145508,9.625,20.878055170961172,22.682835,-0.0010565446,-0.09837933,4.1499999999999995
13178,11/2016,0.12194482903882786,68.63338,1.6537935733795166,9.780000000000001,20.88318608664939,23.441856,-0.0013919013,-0.1296058,2.6199999999999997
13179,11/2016,0.11681391335061164,108.836,2.5798741579055786,9.935,20.888694786594712,24.327509,-0.0017961053,-0.16724294,1.0899999999999999
13180,11/2016,0.11130521340528787,92.17294,2.2088706493377686,10.09,20.894612099227995,23.98004,-0.0015875723,-0.14782555,-0.44
13181,11/2016,0.10538790077200488,121.70519,2.883594274520874,10.2475,20.900958358223193,24.629904,-0.0018729592,-0.17439914,-0.33999999999999997
13182,11/2016,0.09904164177680741,161.14877,3.7572417855262756,10.405000000000001,20.90783197001812,25.47574,-0.0022624857,-0.21066959,-0.24
13183,11/2016,0.092168029981881,152.88397,3.58783757686615,10.5625,20.915269235778386,25.330921,-0.0021368165,-0.198968,-0.13999999999999996
13184,11/2016,0.08473076422161441,119.70959,2.8620293140411377,10.72,20.923195170773276,24.652225,-0.0017406038,-0.16207497,-0.04
13185,11/2016,0.07680482922672383,123.01217,2.944457530975342,10.877500000000001,20.93155532010525,24.740602,-0.0017335118,-0.1614146,-2.515
13186,11/2016,0.06844467989474978,169.94746,3.9882654547691345,11.035,20.940419104872237,25.74941,-0.0021926812,-0.2041698,-4.99
13187,11/2016,0.059580895127762545,115.64001,2.792771100997925,11.192499999999999,20.949763934188205,24.624546,-0.0015618502,-0.14543046,-7.465000000000001
