#{"t_start": 1649091443.076337, "env_id": null}
r,l,t
-5963.426082,2880,9.407507
-4309.548645,2880,18.7417
-4848.830162,2880,29.776499
-4072.248076,2880,39.117859
-994.294812,2880,50.151549
-683.80806,2880,59.483577
-2927.969305,2880,88.026649
-640.295595,2880,99.066598
-3073.185134,2880,108.416298
-1778.021805,2880,119.450116
-6591.790095,2880,128.773394
-1310.417099,2880,138.120485
-4968.68045,2880,149.218766
-2785.558183,2880,177.776415
-624.135183,2880,188.824896
-3241.203908,2880,198.1437
-402.609451,2880,207.468188
-2266.996337,2880,218.565946
-1174.567215,2880,227.891994
-1528.581804,2880,238.975074
-2201.220445,2880,267.636114
-172.193127,2880,276.969969
-3064.217944,2880,288.020825
-913.020834,2880,297.402284
-280.769032,2880,308.431543
-2599.379365,2880,317.789415
-638.191064,2880,327.133207
-1678.788363,2880,357.386504
-780.800028,2880,366.700749
-1539.059485,2880,377.774619
-292.154964,2880,387.108442
-2173.575197,2880,396.467181
-269.751174,2880,407.498651
-2064.286442,2880,416.860125
-2680.826472,2880,447.161015
-1769.226186,2880,456.516914
-503.560746,2880,467.562303
-741.784605,2880,476.89153
-2638.383194,2880,486.278541
-2950.164363,2880,497.312507
-1995.481065,2880,506.646194
-2327.034751,2880,536.864175
-2414.796234,2880,546.225047
-642.797593,2880,555.555157
-3463.382095,2880,566.58569
-1532.699183,2880,575.915533
-767.255413,2880,586.943604
-2558.387764,2880,596.285843
-3863.321906,2880,624.793118
-4021.891658,2880,635.860277
-3447.707537,2880,645.200344
-4854.061567,2880,656.342407
-3915.965376,2880,665.678748
-3101.833945,2880,675.014007
-1494.834582,2880,686.057004
-3934.961578,2880,714.566422
-2742.730813,2880,725.596753
-914.553871,2880,734.92855
-5243.646624,2880,744.292192
-4647.159432,2880,755.342161
-1556.989058,2880,764.670461
-1901.496141,2880,775.716213
-2670.339062,2880,804.257097
-2828.821604,2880,813.581421
-4754.893318,2880,824.659503
-4087.876538,2880,834.02314
-4252.441035,2880,845.068192
-1388.030794,2880,854.391971
-3755.620698,2880,865.421397
-4635.408436,2880,893.928407
-1459.827006,2880,903.248529
-1576.218474,2880,914.311951
-4322.93625,2880,923.664038
-840.53278,2880,934.697854
-2447.834634,2880,944.018301
-2319.772387,2880,953.334433
-5017.04601,2880,983.587587
-3738.20717,2880,992.916335
-2061.419645,2880,1003.948162
-3703.844676,2880,1013.288844
-2768.593132,2880,1022.622787
-4098.018774,2880,1033.677384
-4320.11669,2880,1043.009266
-1796.414235,2880,1073.259832
-2836.059942,2880,1082.607629
-3207.208444,2880,1091.932702
-1707.347424,2880,1102.981035
-4515.587115,2880,1112.326309
-4650.031353,2880,1123.371417
-2771.191224,2880,1132.710985
-3052.206718,2880,1161.217357
-609.339802,2880,1172.255763
-4890.978263,2880,1181.60116
-4996.042792,2880,1192.638719
-1070.01745,2880,1201.975104
-743.650895,2880,1211.30257
-2632.726986,2880,1222.348788
-3142.241269,2880,1250.859503
-1190.235973,2880,1261.90241
-2241.973504,2880,1271.258907
-4529.663196,2880,1282.285096
-1115.244615,2880,1291.606023
-3529.068617,2880,1300.953653
-5057.852751,2880,1311.996127
-4451.49561,2880,1340.503757
-1179.470379,2880,1351.536927
-4231.692103,2880,1360.859935
-1822.073071,2880,1370.169989
-3120.247374,2880,1381.20773
-3939.880578,2880,1390.545671
-4606.298704,2880,1401.640729
-3707.643119,2880,1430.154891
-4520.224797,2880,1439.497312
-5992.881696,2880,1450.567007
-5009.662275,2880,1459.930872
-5770.836104,2880,1470.992936
-765.87904,2880,1480.344707
-5912.432953,2880,1489.703068
-3223.568944,2880,1519.912719
-3608.171593,2880,1529.243428
-4365.26967,2880,1540.299479
-4652.003393,2880,1549.628391
-7522.962298,2880,1558.989189
-5639.120344,2880,1570.073629
-4487.797228,2880,1598.612946
-2713.835846,2880,1609.676485
-936.707277,2880,1618.995458
-1041.209921,2880,1628.318545
-4562.802017,2880,1639.369148
-1740.62305,2880,1648.686741
-3069.189376,2880,1659.719465
-4951.732656,2880,1688.198308
-2541.112328,2880,1699.227428
-4024.405316,2880,1708.556603
-2651.959101,2880,1717.908834
-836.586129,2880,1728.934911
-3804.056934,2880,1738.291088
-2123.069931,2880,1749.318701
-3859.682061,2880,1777.805879
-2453.074,2880,1787.134408
-4959.356485,2880,1798.176275
-4392.461605,2880,1807.572967
-2132.389245,2880,1818.645945
-4525.145592,2880,1827.985296
-4913.42545,2880,1837.392398
-2945.808176,2880,1867.633778
-725.497365,2880,1876.96554
-6534.821651,2880,1888.065945
-345.807974,2880,1897.406311
-444.725555,2880,1906.742049
-5153.172339,2880,1917.793892
-1800.681321,2880,1927.147289
-4418.857335,2880,1957.387014
-349.19655,2880,1966.732502
-582.077803,2880,1976.066787
-4818.03918,2880,1987.132015
-7478.236994,2880,1996.657096
-2330.968126,2880,2007.705925
-4457.911291,2880,2017.042269
-3395.030131,2880,2045.585251
-3932.215357,2880,2056.658094
-1680.232493,2880,2065.988564
-840.059759,2880,2077.020781
-797.990703,2880,2086.352422
-853.743468,2880,2097.393847
-2632.720496,2880,2106.718339
-627.417425,2880,2135.224685
-1803.759989,2880,2146.270611
-1153.042168,2880,2155.612926
-1308.575407,2880,2166.647197
-3768.55837,2880,2175.975029
-6264.669391,2880,2185.356463
-2814.027059,2880,2196.395672
-644.512224,2880,2224.931662
-3981.940998,2880,2235.984365
-836.619509,2880,2245.314323
-3443.717333,2880,2254.666115
-3367.710755,2880,2265.705569
-4499.737283,2880,2275.054759
-422.198506,2880,2286.090143
-1156.187884,2880,2314.577179
-760.772084,2880,2323.905169
-4390.092892,2880,2334.964159
-2991.349537,2880,2344.328195
-3749.600673,2880,2355.369982
-706.392352,2880,2364.691823
-1842.133192,2880,2374.026003
-181.525887,2880,2404.211636
-522.864322,2880,2413.526495
-1597.968966,2880,2424.614541
-1543.886255,2880,2433.936323
-444.548979,2880,2443.251772
-1266.140146,2880,2454.298661
-1878.480692,2880,2463.630672
-1153.505229,2880,2493.827868
-751.959099,2880,2503.15038
-2636.984909,2880,2514.225214
-197.423248,2880,2523.554981
-160.678131,2880,2532.861401
-3837.018094,2880,2543.918273
-1512.087172,2880,2553.244049
-2446.844986,2880,2583.443277
-2896.163359,2880,2592.786735
-2991.418507,2880,2602.110078
-106.712653,2880,2613.137914
-6536.141545,2880,2622.485458
-1739.980765,2880,2633.517713
-2769.971473,2880,2642.834275
-881.985348,2880,2671.329626
-898.452946,2880,2682.365287
-4821.558418,2880,2691.757651
-3856.575006,2880,2702.788671
-3432.327092,2880,2712.135918
-1656.665129,2880,2721.459941
-878.476164,2880,2732.513799
-4015.652629,2880,2761.001092
-19.649639,2880,2772.129914
-2638.621086,2880,2781.450975
-2002.086838,2880,2790.789632
-3636.165381,2880,2801.83903
-2002.410394,2880,2811.168322
-1203.393893,2880,2822.191409
-1336.041662,2880,2850.710093
-1780.484219,2880,2860.032486
-2258.477069,2880,2871.079265
-1838.391378,2880,2880.402674
-3990.468711,2880,2891.426938
-855.037538,2880,2900.761336
-3630.546635,2880,2911.819108
-103.09156,2880,2940.344992
-86.457066,2880,2949.670663
-2261.274344,2880,2960.719122
-4478.903239,2880,2970.118809
-414.187694,2880,2981.163681
-1975.058724,2880,2990.487155
-778.965616,2880,2999.821717
-280.317015,2880,3030.018886
-248.909087,2880,3039.355398
-1576.503657,2880,3050.408752
-2821.970283,2880,3059.781859
-421.988073,2880,3069.11342
-2033.647269,2880,3080.16354
-181.52352,2880,3089.493847
-328.282757,2880,3119.715433
-2045.879457,2880,3129.078999
-4096.315513,2880,3138.410339
-5717.254589,2880,3149.487399
-556.458449,2880,3158.82898
-329.960848,2880,3169.869647
-2052.541918,2880,3198.364758
-1559.729802,2880,3207.713914
-1626.435161,2880,3218.75561
-869.816335,2880,3228.080726
-2125.539877,2880,3239.115485
-555.7382,2880,3248.449544
-1768.570478,2880,3257.768791
-206.45009,2880,3288.001376
-1101.907626,2880,3297.32863
-2115.141735,2880,3308.381593
-1587.543376,2880,3317.712669
-2794.874116,2880,3328.756036
-905.705212,2880,3338.08626
-771.502805,2880,3347.422176
-1032.990785,2880,3377.646764
-1061.703249,2880,3386.973691
-1329.632134,2880,3398.00458
-3611.650737,2880,3407.343547
-945.393752,2880,3416.668054
-189.670898,2880,3427.697881
-226.111778,2880,3437.015407
-886.620677,2880,3467.235271
-2965.696102,2880,3476.565795
-2389.319606,2880,3485.886649
-1867.771989,2880,3496.913631
-700.275233,2880,3506.232005
-1284.526831,2880,3517.267393
-3241.576511,2880,3526.602389
-787.059257,2880,3555.108246
-1419.823989,2880,3566.153782
-926.080936,2880,3575.479939
-1807.021095,2880,3586.525738
-3929.095906,2880,3595.850966
-1929.970558,2880,3605.190015
-1601.366136,2880,3616.219996
-615.371495,2880,3644.819574
-2413.444279,2880,3655.875766
-150.996028,2880,3665.20967
-2767.825962,2880,3674.551732
-1210.296844,2880,3685.603347
-3515.255127,2880,3694.958474
-569.078968,2880,3706.00462
-3359.119853,2880,3734.553515
-713.304513,2880,3745.58178
-2768.311367,2880,3754.904853
-208.026879,2880,3764.230254
-1622.881817,2880,3775.27183
-774.56951,2880,3784.5882
-2958.22601,2880,3795.641316
-415.777671,2880,3824.191705
-666.808095,2880,3833.521079
-2999.372267,2880,3844.605923
-2095.355764,2880,3853.931398
-287.346349,2880,3864.955612
-1430.052751,2880,3874.27603
-727.530744,2880,3883.599006
-4478.32922,2880,3913.832486
-2227.496851,2880,3923.14901
-1021.801767,2880,3934.178443
-551.082824,2880,3943.501836
-1793.222522,2880,3952.809044
-3214.856194,2880,3963.836897
-932.441854,2880,3973.152711
-1003.929437,2880,4003.359861
-1297.94299,2880,4012.783699
-932.056586,2880,4022.227737
-694.010975,2880,4033.361186
-742.758258,2880,4042.786065
-2919.295057,2880,4053.916276
-1221.211131,2880,4063.344942
-1887.32462,2880,4092.186795
-888.345937,2880,4103.329065
-2041.073911,2880,4112.770182
-2163.92673,2880,4123.925877
-2902.204362,2880,4133.35517
-499.493898,2880,4144.484666
-1789.970211,2880,4153.914811
-1736.256124,2880,4182.764208
-3931.21679,2880,4193.913547
-2331.807052,2880,4203.338146
-43.369429,2880,4214.473649
-4507.989798,2880,4223.892874
-2398.307193,2880,4233.313893
-2402.072047,2880,4244.471093
-1096.402583,2880,4273.306702
-1824.067299,2880,4284.437411
-598.398963,2880,4293.86117
-1175.647844,2880,4303.283061
-1314.533258,2880,4314.419157
-2464.194737,2880,4323.867412
-3479.920319,2880,4335.0173
-745.864006,2880,4363.868337
-17.307156,2880,4373.392975
-2400.386081,2880,4384.52051
-3117.9276,2880,4393.946232
-2336.327919,2880,4405.062775
-2964.451315,2880,4414.490726
-3239.727493,2880,4423.914248
