#{"t_start": 1648804914.473055, "env_id": null}
r,l,t
-9336.543535,2880,10.323207
-12663.760607,2880,20.627684
-9216.755023,2880,32.695809
-8830.647136,2880,42.998267
-4615.800209,2880,55.055928
-3426.718323,2880,65.369226
-2469.694322,2880,95.357617
-6723.025716,2880,107.417602
-3483.514873,2880,117.728696
-3625.065842,2880,129.796916
-6748.949783,2880,140.104991
-5660.940754,2880,150.409301
-4385.76626,2880,162.470432
-3414.783823,2880,192.381002
-8107.560842,2880,204.449112
-4398.40097,2880,214.745739
-3671.586543,2880,225.053633
-1320.774828,2880,237.116622
-1851.977549,2880,247.422486
-2961.277766,2880,259.493692
-2233.202662,2880,289.434098
-5629.357349,2880,299.738856
-1514.102419,2880,311.811872
-2364.330656,2880,322.120204
-1048.826908,2880,334.184264
-1437.23015,2880,344.491459
-2347.318733,2880,354.799694
-1265.899812,2880,386.528751
-4687.803511,2880,396.845917
-1335.451944,2880,408.911324
-2076.550834,2880,419.218175
-1000.051819,2880,429.527902
-3621.908304,2880,441.60227
-2379.754538,2880,451.910828
-1268.13667,2880,483.605571
-1327.831618,2880,493.913498
-2252.038165,2880,505.982599
-968.406043,2880,516.283071
-3504.103879,2880,526.585344
-2579.883936,2880,538.642478
-1224.969833,2880,548.939466
-1759.89085,2880,580.664431
-1311.129119,2880,590.968801
-2201.601744,2880,601.270901
-1979.698768,2880,613.333458
-3379.94796,2880,623.640641
-2497.562642,2880,635.711171
-1193.618309,2880,646.015263
-1732.415367,2880,676.006281
-4479.375784,2880,688.082955
-2161.241198,2880,698.39826
-1967.614744,2880,710.462002
-3452.368143,2880,720.775006
-2522.173859,2880,731.078296
-2140.160379,2880,743.148197
-1740.372628,2880,773.111283
-4570.90213,2880,785.178808
-2174.919796,2880,795.492343
-1971.013341,2880,805.810595
-946.389281,2880,817.873284
-1311.667762,2880,828.185332
-2114.137856,2880,840.262263
-1712.416491,2880,870.22224
-1254.665557,2880,880.542159
-2151.787504,2880,892.616936
-932.661456,2880,902.933426
-3406.838981,2880,915.007081
-2182.759272,2880,925.325656
-1199.366021,2880,937.40347
-743.759329,2880,967.367056
-1254.838345,2880,977.674231
-2129.176107,2880,989.740048
-920.544336,2880,1000.043497
-3329.832191,2880,1012.105212
-2123.857864,2880,1022.412696
-1179.926712,2880,1032.718854
-1700.078729,2880,1064.460295
-1239.485329,2880,1074.77203
-2127.499632,2880,1086.888381
-918.98667,2880,1097.194245
-3239.242261,2880,1107.510807
-2432.507015,2880,1119.58568
-1174.421933,2880,1129.905477
-1682.250995,2880,1161.688629
-1255.120246,2880,1172.004459
-2123.337501,2880,1182.320952
-1930.874398,2880,1194.400371
-3267.851586,2880,1204.71503
-2446.990317,2880,1216.79106
-1184.752932,2880,1227.116498
-1679.217919,2880,1257.131714
-1237.819223,2880,1269.198268
-1899.72695,2880,1279.512052
-921.37414,2880,1291.587392
-1287.167654,2880,1301.895273
-2049.090139,2880,1312.216592
-1163.350259,2880,1324.289809
-729.317862,2880,1354.273496
-1221.83606,2880,1366.338129
-1881.181067,2880,1376.652837
-919.148199,2880,1388.728847
-1282.461287,2880,1399.03584
-2049.28728,2880,1409.345085
-1150.91364,2880,1421.4162
-729.950946,2880,1451.38887
-1228.571918,2880,1463.46636
-1898.059859,2880,1473.777302
-928.4155,2880,1484.09327
-3204.121774,2880,1496.16939
-2086.519993,2880,1506.479746
-1176.941451,2880,1518.549069
-733.090252,2880,1548.531917
-1241.370331,2880,1558.847279
-2111.736968,2880,1570.922435
-916.077195,2880,1581.235869
-3219.324884,2880,1593.314658
-2065.0071,2880,1603.626268
-1152.913575,2880,1613.942166
-1666.188322,2880,1645.704371
-2097.504553,2880,1656.017045
