#{"t_start": 1649109396.9545524, "env_id": null}
r,l,t
-11488.250444,2880,9.443152
-10834.339263,2880,18.868526
-2296.415068,2880,30.007528
-5605.673513,2880,39.439766
-12715.276791,2880,50.573164
-4111.928745,2880,60.03276
-4546.366406,2880,89.008126
-5539.870956,2880,100.167169
-8075.035234,2880,109.644829
-1290.706418,2880,120.780555
-5474.367164,2880,130.254733
-7266.981113,2880,139.685993
-716.754673,2880,150.831802
-12845.796042,2880,179.712957
-1735.82504,2880,190.846739
-2525.651027,2880,200.285329
-6373.249837,2880,209.733944
-1467.003415,2880,220.86792
-4669.191772,2880,230.318807
-818.757567,2880,241.490162
-3404.167567,2880,270.401322
-853.992779,2880,279.860667
-750.283782,2880,291.021531
-3109.42299,2880,300.562126
-674.437564,2880,311.718153
-449.62006,2880,321.162672
-3960.257643,2880,330.621965
-1070.522391,2880,361.22533
-473.264291,2880,370.674134
-158.941145,2880,381.819941
-3433.797492,2880,391.273201
-1527.527534,2880,400.711112
-314.987435,2880,411.849956
-176.771202,2880,421.285388
-5161.928363,2880,451.917598
-209.07799,2880,461.365931
-2015.777107,2880,472.523576
-170.490772,2880,481.967463
-1429.769038,2880,491.404314
-173.381067,2880,502.55761
-3179.065454,2880,511.993796
-2460.404239,2880,542.650594
-1764.905858,2880,552.083347
-1607.041651,2880,561.517021
-2050.605213,2880,572.667521
-2570.919868,2880,582.135198
-219.435045,2880,593.255155
-598.50018,2880,602.699393
-147.776739,2880,631.618749
-1625.887142,2880,642.76823
-579.440538,2880,652.20752
-277.173453,2880,663.355439
-2350.903546,2880,672.796795
-2902.103968,2880,682.248563
-1788.619113,2880,693.401874
-208.308691,2880,722.367081
-1017.588291,2880,733.520731
-462.14251,2880,742.96458
-2543.877026,2880,752.444634
-369.793592,2880,763.601922
-167.087823,2880,773.04766
-444.188017,2880,784.198581
-123.365965,2880,813.149946
-441.037993,2880,822.588723
-831.021374,2880,833.738136
-2114.267872,2880,843.169545
-330.469998,2880,854.313298
-127.17536,2880,863.751322
-1737.107263,2880,874.906778
-535.425031,2880,903.841406
-3109.643676,2880,913.291008
-739.179924,2880,924.447113
-4468.651533,2880,933.88339
-2179.889941,2880,945.023236
-433.718269,2880,954.461844
-821.495997,2880,963.906425
-4173.841887,2880,994.537026
-168.054735,2880,1004.018163
-2400.937147,2880,1015.171507
-83.770543,2880,1024.609136
-477.003825,2880,1034.053046
-2673.50091,2880,1045.206788
-2748.680342,2880,1054.657843
-949.361903,2880,1085.293968
-2288.476061,2880,1094.77596
-1760.658341,2880,1104.212342
-5443.986422,2880,1115.509958
-1013.121068,2880,1124.951957
-1838.560504,2880,1136.098034
-2865.760132,2880,1145.534031
-3730.135331,2880,1174.430036
-715.943257,2880,1185.571253
-276.687426,2880,1195.001935
-2248.511236,2880,1206.156941
-443.978068,2880,1215.58287
-4726.506217,2880,1225.02292
-472.813077,2880,1236.159879
-2109.732101,2880,1265.059342
-3014.904417,2880,1276.201496
-2146.203857,2880,1285.63741
