,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,130.86086,2.6786617040634155,4.75,21.00759430198323,25.5627,-0.00078101264,-0.13086085,23.86
1,1/2016,0.0,131.58237,2.6932514905929565,4.66,21.013919049029695,25.518272,-0.00078531884,-0.13158236,23.4925
2,1/2016,0.0,136.73647,2.7938919067382812,4.57,21.01920098160929,25.565775,-0.0008160799,-0.13673647,23.125
3,1/2016,0.0,128.13606,2.6228960752487183,4.4799999999999995,21.02350905521137,25.368084,-0.0007647504,-0.12813607,22.7575
4,1/2016,0.0,140.6618,2.8671205043792725,4.39,21.027009783599038,25.559832,-0.0008395074,-0.1406618,22.39
5,1/2016,0.0,141.50659,2.8797597885131836,4.3,21.029942713285404,25.554367,-0.00084454933,-0.1415066,21.94
6,1/2016,0.0,138.26413,2.8125150203704834,4.21,21.0323226429423,25.47613,-0.00082519744,-0.13826413,21.490000000000002
7,1/2016,0.0,151.62238,3.067157506942749,4.12,21.034323474779985,25.702942,-0.00090492296,-0.15162237,21.04
8,1/2016,0.0,149.50923,3.020074725151062,4.03,21.03608983262241,25.66273,-0.0008923112,-0.14950924,20.59
9,1/2016,0.0,150.01605,3.023837149143219,3.9400000000000004,21.037598397886793,25.667234,-0.00089533604,-0.15001605,19.645
10,1/2016,0.0,138.60097,2.798081874847412,3.85,21.038710879284235,25.452534,-0.0008272077,-0.13860096,18.7
11,1/2016,0.0,147.98267,2.974534034729004,3.76,21.039433451611984,25.60564,-0.00088320026,-0.14798267,17.755
12,1/2016,0.0,154.27092,3.088668644428253,3.67,21.03997071060842,25.714573,-0.0009207302,-0.15427092,16.81
13,1/2016,0.0,160.7676,3.201249897480011,3.5324999999999998,21.040331293366147,25.830723,-0.00095950416,-0.1607676,16.96
14,1/2016,0.0,159.94217,3.1744261980056763,3.395,21.040542507329942,25.820938,-0.0009545777,-0.15994217,17.11
15,1/2016,0.0,163.80455,3.235829472541809,3.2575000000000003,21.04060185978696,25.89151,-0.0009776294,-0.16380455,17.259999999999998
16,1/2016,0.0,161.68169,3.1848775148391724,3.12,21.04048699301062,25.857689,-0.0009649596,-0.16168168,17.41
17,1/2016,0.0,159.24576,3.128843128681183,2.9825,21.04010867450158,25.813221,-0.0009504214,-0.15924576,17.3125
18,1/2016,0.0,165.52266,3.235216498374939,2.8449999999999998,21.039493134048424,25.91869,-0.0009878837,-0.16552266,17.215
19,1/2016,0.0,179.28589,3.476135551929474,2.7075,21.03884678202047,26.160337,-0.0010700262,-0.17928588,17.1175
20,1/2016,0.0,169.30121,3.280513286590576,2.57,21.038142871248418,26.000942,-0.001010435,-0.16930121,17.02
21,1/2016,0.0,175.72787,3.3863343000411987,2.4325,21.037293981810734,26.111511,-0.0010487911,-0.17572787,16.73
22,1/2016,0.0,185.63312,3.5525214672088623,2.295,21.036444279163923,26.286482,-0.0011079082,-0.18563312,16.439999999999998
23,1/2016,0.0,181.41182,3.4630351066589355,2.1574999999999998,21.035586961563197,26.227163,-0.0010827144,-0.18141182,16.15
24,1/2016,0.0,176.12637,3.355777144432068,2.02,21.034552422770446,26.140572,-0.0010511695,-0.17612638,15.86
25,1/2016,0.0,174.42796,3.3337756991386414,2.1425,21.033940390990114,26.125261,-0.0010410328,-0.17442796,16.435
26,1/2016,0.0,178.79434,3.4214410185813904,2.2649999999999997,21.03377565285963,26.212358,-0.0010670925,-0.17879434,17.009999999999998
27,1/2016,0.0,165.61913,3.1903855204582214,2.3874999999999997,21.03393791305058,26.000664,-0.0009884593,-0.16561912,17.585
28,1/2016,0.0,174.1911,3.35673451423645,2.51,21.03439220516281,26.15056,-0.0010396192,-0.1741911,18.16
29,1/2016,0.0,164.94652,3.1963464617729187,2.635,21.03514023989927,26.001629,-0.000984445,-0.16494651,18.052500000000002
