#{"t_start": 1648819363.9710953, "env_id": null}
r,l,t
-11662.358247,2880,10.36733
-13575.391876,2880,20.668534
-4674.448434,2880,32.739537
-4171.7207,2880,43.045238
-7811.155132,2880,55.113055
-8089.143132,2880,65.429722
-11326.552612,2880,95.35012
-4714.145581,2880,107.414078
-8195.066419,2880,117.711363
-5136.012991,2880,129.77879
-6782.92713,2880,140.086247
-4986.792289,2880,150.397991
-6415.067914,2880,162.464397
-6492.861411,2880,192.381898
-2915.73819,2880,204.450268
-4517.005329,2880,214.765568
-3151.513232,2880,225.069424
-3966.327626,2880,237.124445
-2577.601685,2880,247.429024
-3791.519768,2880,259.490114
-4397.790756,2880,289.435215
-2718.158871,2880,299.749171
-1182.794705,2880,311.811311
-1864.737913,2880,322.112219
-3066.763683,2880,334.175998
-2221.881939,2880,344.495553
-3277.022989,2880,354.80692
-1573.023943,2880,386.512275
-1977.635194,2880,396.829699
-1117.410678,2880,408.896734
-1568.611422,2880,419.208391
-2678.211933,2880,429.531271
-2770.116772,2880,441.609449
-2922.100102,2880,451.928152
-1499.713812,2880,483.630207
-1008.850856,2880,493.940875
-2333.966087,2880,506.003147
-2660.856102,2880,516.309271
-2631.876576,2880,526.610439
-2059.669252,2880,538.669223
-1486.09799,2880,548.967845
-3913.523764,2880,580.667243
-971.543027,2880,590.965316
-2370.909146,2880,601.259045
-1446.016334,2880,613.322967
-2688.320261,2880,623.61436
-1955.763294,2880,635.669768
-1461.981249,2880,645.97247
-3729.807107,2880,675.945674
-1890.079796,2880,688.015072
-2346.717711,2880,698.322869
-1447.734559,2880,710.386434
-2672.72447,2880,720.696671
-2011.291483,2880,730.997345
-2923.725198,2880,743.058714
-3926.139049,2880,773.00543
-1966.478968,2880,785.06879
-2426.529911,2880,795.369447
-1491.735921,2880,805.671699
-2811.199891,2880,817.734813
-2095.335532,2880,828.028512
-3037.702765,2880,840.088617
-4069.89549,2880,870.041645
-970.645262,2880,880.345787
-2507.871572,2880,892.419896
-2800.079589,2880,902.728819
-2842.147197,2880,914.802221
-2978.166904,2880,925.107085
-1454.68656,2880,937.159869
-733.135625,2880,967.1294
-951.473828,2880,977.440608
-2367.242114,2880,989.496512
-2653.225384,2880,999.79873
-2662.042286,2880,1011.854633
-2806.276354,2880,1022.198814
-1398.11393,2880,1032.496294
-3698.468565,2880,1064.219605
-950.007905,2880,1074.518933
-2348.135613,2880,1086.585873
-2623.378484,2880,1096.887706
-2638.959423,2880,1107.194516
-1940.904987,2880,1119.264216
-1388.16157,2880,1129.567147
-3762.161017,2880,1161.307465
-942.284557,2880,1171.604739
-2362.308269,2880,1181.907773
-1392.45679,2880,1193.96818
-2622.234335,2880,1204.272959
-1937.7418,2880,1216.329224
-1385.707793,2880,1226.631285
-3668.71637,2880,1256.601426
-925.958485,2880,1268.671495
-1378.607155,2880,1278.985129
-2534.783262,2880,1291.062124
-1868.353908,2880,1301.376138
-2669.320023,2880,1311.690542
-1356.790827,2880,1323.761782
-703.042206,2880,1353.728955
-923.895782,2880,1365.79697
-1381.158133,2880,1376.106847
-2528.108506,2880,1388.175508
-1866.904399,2880,1398.479427
-2629.780436,2880,1408.792272
-1345.229449,2880,1420.864424
-696.930788,2880,1450.854476
-916.492585,2880,1462.92106
-1375.713669,2880,1473.223294
-2514.130717,2880,1483.530558
-2509.046144,2880,1495.594697
-2650.692033,2880,1505.903787
-1343.91666,2880,1517.964983
-695.041111,2880,1547.938843
-917.463721,2880,1558.243446
-2219.41795,2880,1570.305499
-2500.921948,2880,1580.622856
-2523.44409,2880,1592.690522
-2659.456293,2880,1602.995363
-1340.678194,2880,1613.306925
-3501.329332,2880,1645.068624
-2263.208295,2880,1655.381376
-1370.46876,2880,1667.452101
-2487.56971,2880,1677.761291
-1856.79012,2880,1688.063888
-2616.794615,2880,1700.136188
-3434.528225,2880,1730.149118
-1783.495454,2880,1742.223283
-2222.120232,2880,1752.537411
-1365.625491,2880,1762.853076
-2494.806752,2880,1774.931575
-1854.337855,2880,1785.243567
-2627.423819,2880,1797.312613
-3446.18128,2880,1827.308034
-1783.444739,2880,1839.380332
-2240.490845,2880,1849.692006
-1365.920473,2880,1860.000056
-2507.232087,2880,1872.062894
-1862.536047,2880,1882.363877
-2621.562358,2880,1894.43033
-3437.394268,2880,1924.429406
-1780.689716,2880,1934.734947
-910.289061,2880,1946.798672
-1360.494353,2880,1957.096221
-2471.681778,2880,1969.158281
