#{"t_start": 1647626875.1780574, "env_id": null}
r,l,t
-7104.084336,2880,19.386562
-6358.215053,2880,38.897654
-7947.177722,2880,60.230971
-8749.138209,2880,76.659441
-8074.769708,2880,91.718328
-7961.680055,2880,138.198892
-3530.813969,2880,157.569961
-6509.8811,2880,178.851533
-7222.79265,2880,198.192433
-7064.197603,2880,219.636951
-7356.721581,2880,236.547898
-4432.364953,2880,249.588626
-9153.232477,2880,298.834629
-3374.521131,2880,318.022474
-6471.555677,2880,339.737907
-7231.702515,2880,358.915916
-7168.439878,2880,378.167608
-5707.852469,2880,396.825369
-4330.496466,2880,409.842523
-9246.100292,2880,461.455689
-6465.554864,2880,481.24033
-4387.225834,2880,501.057436
-7259.527837,2880,523.841813
-5619.131882,2880,543.711751
-7353.9596,2880,563.465127
-9063.090229,2880,576.454914
-2756.118869,2880,626.031002
-3234.249765,2880,648.094263
-4342.932462,2880,667.780641
-7152.744161,2880,689.805314
-5538.449004,2880,709.183947
-7237.724297,2880,726.933094
-4280.2343,2880,772.931541
-5301.291033,2880,792.159019
-3221.001484,2880,813.777288
-4245.275481,2880,833.417327
-7021.940041,2880,855.526314
-5469.033587,2880,875.09669
-7107.92785,2880,892.836861
-4205.276653,2880,938.757816
-5220.775079,2880,958.417247
-3149.198042,2880,979.597903
-4183.235066,2880,998.92518
-6963.869605,2880,1018.079995
-6831.776665,2880,1039.401284
-7077.920455,2880,1056.410651
-4121.872007,2880,1104.016055
-3101.429233,2880,1123.477247
-6136.355036,2880,1142.83555
-4132.072038,2880,1164.070833
-6759.079225,2880,1183.456125
-5319.997283,2880,1204.590993
-4080.38114,2880,1221.624512
-8799.763317,2880,1267.993962
-5110.06558,2880,1289.358822
-6128.994161,2880,1308.764559
-4148.495067,2880,1330.150826
-6748.219382,2880,1349.387705
-5309.631348,2880,1368.789371
-7004.191525,2880,1388.47158
-8829.593558,2880,1435.254401
-5116.519713,2880,1456.582232
-6155.013605,2880,1475.758941
-4141.047426,2880,1495.258174
-6870.398406,2880,1516.621105
-5326.653709,2880,1536.47107
-7013.241975,2880,1556.553435
-8847.708663,2880,1603.456979
-5122.846531,2880,1625.232281
-6144.369875,2880,1644.183209
-4143.32464,2880,1663.508939
-6888.226248,2880,1685.022093
-5336.730484,2880,1704.493814
-7021.000818,2880,1724.449724
-8856.723697,2880,1772.902694
-3070.220591,2880,1792.134758
-6151.850099,2880,1812.404938
-6873.874458,2880,1831.531812
-6771.280095,2880,1853.110231
-6994.244899,2880,1872.550433
-4060.773713,2880,1891.729481
-8831.014606,2880,1948.876838
-3062.453507,2880,1968.000087
-6126.539407,2880,1989.571652
-6845.86365,2880,2008.910806
-6758.678098,2880,2028.028055
-5313.64099,2880,2049.703441
-4049.714642,2880,2068.904322
-8806.20453,2880,2125.948991
-3041.444791,2880,2145.24096
-6097.791988,2880,2164.289293
-4112.299386,2880,2185.997706
-6719.027177,2880,2205.245756
-5289.443077,2880,2226.814764
-4062.776342,2880,2246.066772
-8811.520033,2880,2300.641062
-5095.117225,2880,2322.416656
-6097.439521,2880,2341.571978
-4102.298017,2880,2363.158396
-6709.174518,2880,2382.295649
-5275.999288,2880,2403.730413
-4038.298313,2880,2423.11861
-8779.09726,2880,2477.489943
-5072.468679,2880,2499.143666
-6078.334286,2880,2518.425476
-4098.835202,2880,2539.607434
-6715.419452,2880,2558.912599
-5268.529643,2880,2577.905245
-6947.205979,2880,2599.503325
-8775.025941,2880,2654.882126
-3030.856108,2880,2676.110395
-4094.46088,2880,2696.207206
-6779.440532,2880,2715.474231
-6703.522511,2880,2737.180342
-6944.153756,2880,2756.330363
-4014.622381,2880,2777.587372
-2523.607574,2880,2833.603053
-3018.904447,2880,2852.686178
-6068.606659,2880,2874.277858
-6782.494522,2880,2893.485401
-6695.873106,2880,2914.872732
-6944.382003,2880,2934.400701
-4025.537905,2880,2953.488926
-8792.310701,2880,3010.631456
-3020.173031,2880,3029.936469
-6071.257607,2880,3051.246953
-6778.053307,2880,3070.871207
-6694.578657,2880,3090.084206
-5257.667518,2880,3111.935866
-4016.522066,2880,3131.26595
-8772.999353,2880,3188.380164
-3026.777461,2880,3207.921609
-6081.913788,2880,3229.234294
-6779.139634,2880,3248.746721
-6702.826319,2880,3268.010575
-5262.104785,2880,3289.508816
-4030.129776,2880,3309.423431
-8808.993227,2880,3367.277003
-6090.350938,2880,3386.771967
-4093.856063,2880,3406.086595
-6796.414479,2880,3427.57573
-5276.808051,2880,3447.16747
-6962.672932,2880,3468.518875
-8806.139929,2880,3488.128236
-2542.457408,2880,3544.353026
-3029.673904,2880,3565.738382
-4092.393645,2880,3585.155149
-6807.866011,2880,3606.367622
-5273.849372,2880,3625.810105
-6955.162224,2880,3644.952282
-4022.224355,2880,3665.777485
-2531.272387,2880,3722.325052
-3018.209346,2880,3743.850511
-4088.954956,2880,3763.240281
-6797.734771,2880,3782.537577
-6712.576742,2880,3804.254682
-6941.701811,2880,3824.166932
-4017.772766,2880,3881.674203
-5061.53415,2880,3901.211549
-3012.559576,2880,3920.387234
-6082.917228,2880,3941.986328
-6779.107452,2880,3961.233958
-6706.934151,2880,3982.71677
-6940.068331,2880,4002.069488
-4017.728344,2880,4060.662169
-3012.0384,2880,4080.060121
-6082.490208,2880,4099.312467
-4081.688175,2880,4120.639686
-6715.419579,2880,4139.970451
-5265.341393,2880,4161.364431
-4010.557252,2880,4181.139199
-8799.556476,2880,4237.744568
-5045.158507,2880,4259.226531
-6071.290383,2880,4278.777669
-4075.916318,2880,4300.113566
-6698.394357,2880,4319.628403
-5251.8198,2880,4338.960456
-6951.547164,2880,4360.046962
-8784.084384,2880,4416.701979
-5046.562018,2880,4437.995575
-6079.411437,2880,4457.470435
-4073.236744,2880,4476.643267
-6789.679045,2880,4497.969786
-5245.869226,2880,4517.509731
-6937.740989,2880,4538.863916
-8787.632039,2880,4595.094889
-5048.81488,2880,4614.194681
-3004.736844,2880,4635.50563
-4058.704128,2880,4655.157017
-6753.812474,2880,4676.75843
-5239.571351,2880,4696.235718
-6926.514191,2880,4715.275494
-3994.906498,2880,4773.89932
-3004.321552,2880,4793.738796
-6055.058408,2880,4815.219979
-6760.068793,2880,4834.714742
-6687.916025,2880,4856.069564
-6938.865953,2880,4875.373156
-4002.225712,2880,4894.826455
-8784.759001,2880,4953.035535
-3016.366315,2880,4972.984032
-6072.327382,2880,4994.583572
-6779.656051,2880,5014.493764
-6711.136703,2880,5034.180883
-5259.389145,2880,5055.626636
-4030.915797,2880,5074.967762
-8790.883628,2880,5133.00507
-3040.975993,2880,5152.655553
-6072.110691,2880,5172.419726
-4109.436902,2880,5193.96465
-6699.253241,2880,5213.392713
-5258.393969,2880,5235.182542
-4016.752023,2880,5254.548303
-8784.53461,2880,5311.182138
-5035.344992,2880,5332.360525
-6059.096951,2880,5351.810036
-4069.421396,2880,5373.205354
-6690.886735,2880,5392.908166
-5243.755387,2880,5412.280932
-6927.837641,2880,5433.757612
-8781.333928,2880,5490.575423
-5038.543167,2880,5512.0109
-6057.292853,2880,5531.711447
-4064.229065,2880,5551.124233
-6759.57287,2880,5572.612539
-5235.724364,2880,5591.965295
-6930.270605,2880,5613.402812
-8790.977136,2880,5668.480931
-3005.07298,2880,5689.976058
-4078.744486,2880,5709.422663
-6769.485627,2880,5729.302414
-6706.150591,2880,5750.799926
-6945.579142,2880,5770.245068
-4020.149952,2880,5791.691156
-2525.401841,2880,5846.465608
-3019.955031,2880,5866.198613
-6083.110038,2880,5887.499327
-6794.886308,2880,5907.140216
-6714.797086,2880,5928.554374
-6964.474937,2880,5947.980639
-4031.908507,2880,5967.664439
-8804.05483,2880,6025.835353
-3034.139126,2880,6045.321203
-6086.535633,2880,6066.716887
-6799.347854,2880,6085.944827
-6716.414955,2880,6105.302965
-5265.840946,2880,6126.526362
-4027.341805,2880,6145.911349
-8820.264547,2880,6203.823625
-3034.117212,2880,6222.972995
-6084.735209,2880,6242.485405
-4100.482257,2880,6264.082098
-6722.02464,2880,6283.499496
-5265.038076,2880,6304.829821
-4025.737572,2880,6324.106189
-8805.780618,2880,6379.213342
-3024.883731,2880,6401.128793
-4094.959356,2880,6420.713184
-6804.606922,2880,6442.194504
-5261.891834,2880,6461.378686
-6959.016285,2880,6482.820469
-8810.902294,2880,6502.167176
-2522.528175,2880,6556.794905
-3028.511031,2880,6578.163196
-4093.954271,2880,6597.471088
-6789.786558,2880,6618.935159
-5261.507169,2880,6638.177368
-6962.42633,2880,6657.601774
-4029.692025,2880,6678.718928
-2533.480167,2880,6734.178328
-3035.958283,2880,6756.02034
-4113.15738,2880,6775.201438
-6817.726117,2880,6794.691254
-6738.144077,2880,6816.150337
-6977.478723,2880,6835.487487
-4039.188987,2880,6856.95449
-2537.536965,2880,6911.801831
-3027.794326,2880,6931.386951
-6105.680004,2880,6952.813068
-6815.319686,2880,6972.150123
-6738.176558,2880,6993.544682
-6988.115508,2880,7012.737265
-4031.610438,2880,7068.095366
-5086.158761,2880,7088.701065
