,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,33.034527,0.6612235307693481,4.75,21.006286529040544,23.632599,-0.00036280623,-0.033034526,23.86
1,1/2016,0.0,28.909557,0.5805094242095947,4.66,21.008924887831363,23.34505,-0.00031750317,-0.028909557,23.4925
2,1/2016,0.0,117.78163,2.4447898864746094,4.57,21.009579153000235,24.940193,-0.0012935529,-0.11778163,23.125
3,1/2016,0.0,3.379837,0.02518165111541748,4.4799999999999995,21.008051143301504,22.601976,-3.7119527e-05,-0.0033798371,22.7575
4,1/2016,0.0,151.80107,3.1279608607292175,4.39,21.00520060663362,25.367933,-0.001667176,-0.15180106,22.39
5,1/2016,0.0,158.88667,3.2531291842460632,4.3,21.003120702719965,25.544817,-0.0017449947,-0.15888667,21.94
6,1/2016,0.0,123.21296,2.543309211730957,4.21,21.001281784883695,24.92452,-0.0013532032,-0.123212956,21.490000000000002
7,1/2016,0.0,248.34312,4.887779474258423,4.12,21.000714488138083,27.16495,-0.0027274624,-0.24834312,21.04
8,1/2016,0.0,175.17796,3.519077718257904,4.03,21.001709860816497,26.0296,-0.001923916,-0.17517796,20.59
9,1/2016,0.0,184.48035,3.680898427963257,3.9400000000000004,21.00329596283294,26.232845,-0.0020260806,-0.18448034,19.645
10,1/2016,0.0,20.694733,0.39392638206481934,3.85,21.00331954486441,23.142645,-0.00022728274,-0.020694733,18.7
11,1/2016,0.0,139.39406,2.8273648023605347,3.76,21.001598184567904,25.270805,-0.0015309145,-0.13939406,17.755
12,1/2016,0.0,168.47206,3.37551748752594,3.67,21.000162216209457,25.804388,-0.0018502676,-0.16847207,16.81
13,1/2016,0.0004177975825108149,206.484,4.061778903007507,3.5324999999999998,20.99958220241749,26.509962,-0.0022700331,-0.20669289,16.96
14,1/2016,0.00044497733468773504,170.16905,3.3716129064559937,3.395,20.999645741002777,25.943836,-0.0018713486,-0.17039154,17.11
15,1/2016,0.00045738653924587425,149.80984,2.97620165348053,3.2575000000000003,20.999542613460754,25.595457,-0.0016478188,-0.15003854,17.259999999999998
16,1/2016,0.0010776162736831907,142.83455,2.835463285446167,3.12,20.998922383726317,25.457066,-0.0015746176,-0.14337336,17.41
17,1/2016,0.002871176150762267,95.27356,1.90924072265625,2.9825,20.997128823849238,24.55704,-0.0010621215,-0.09670915,17.3125
18,1/2016,0.005551307528001814,152.52399,3.0100978016853333,2.8449999999999998,20.994448692471998,25.528273,-0.0017055996,-0.15529963,17.215
19,1/2016,0.007398291195649165,237.00723,4.523362398147583,2.7075,20.99260170880435,26.987305,-0.0026435908,-0.24070637,17.1175
20,1/2016,0.009413820194918543,93.365944,1.8497915267944336,2.57,20.99058617980508,24.552895,-0.0010770987,-0.09807286,17.02
21,1/2016,0.012425637287961422,157.19257,3.064675748348236,2.4325,20.98757436271204,25.621037,-0.0017946222,-0.16340539,16.73
22,1/2016,0.014556269629299123,249.45808,4.691468596458435,2.295,20.9854437303707,27.186634,-0.0028196408,-0.25673622,16.439999999999998
23,1/2016,0.01621374754665794,146.82703,2.840132474899292,2.1574999999999998,20.983786252453342,25.545586,-0.0017015828,-0.1549339,16.15
24,1/2016,0.018942624337849878,120.32635,2.33934223651886,2.02,20.98105737566215,25.04007,-0.0014255207,-0.12979767,15.86
25,1/2016,0.022332079919962666,111.53291,2.183903932571411,2.1425,20.977667920080037,24.830412,-0.001347558,-0.12269895,16.435
26,1/2016,0.02560117170251175,171.35237,3.3136203289031982,2.2649999999999997,20.97439882829749,25.846113,-0.0020224852,-0.18415296,17.009999999999998
27,1/2016,0.02950940065059271,53.896873,1.0631539821624756,2.3874999999999997,20.970490599349407,23.721043,-0.0007539753,-0.06865157,17.585
28,1/2016,0.033466659077724614,198.0271,3.8281853199005127,2.51,20.966533340922275,26.22084,-0.0023586361,-0.21476044,18.16
29,1/2016,0.03698759427555842,97.632034,1.946243405342102,2.635,20.96301240572444,24.501406,-0.0012753679,-0.11612584,18.052500000000002
30,1/2016,0.04035416856244112,166.39738,3.270014226436615,2.76,20.95964583143756,25.69621,-0.0020490796,-0.18657446,17.945
31,1/2016,0.042191295900753545,213.98602,4.140463829040527,2.885,20.957808704099246,26.565842,-0.0025818169,-0.23508167,17.8375
32,1/2016,0.04418475076413486,50.95536,1.0181872844696045,3.01,20.955815249235865,23.675982,-0.0008022568,-0.073047735,17.73
33,1/2016,0.04726900452133265,116.80633,2.351948618888855,3.1325,20.952730995478667,24.80132,-0.0015424108,-0.14044084,18.240000000000002
34,1/2016,0.05064848650834364,100.43387,2.0384405851364136,3.255,20.949351513491656,24.470387,-0.0013811557,-0.12575811,18.75
35,1/2016,0.054708098061546195,78.057144,1.5977497100830078,3.3775,20.945291901938454,23.997797,-0.0011576929,-0.105411194,19.259999999999998
36,1/2016,0.05922436338217807,103.69223,2.124821662902832,3.5,20.940775636617822,24.424057,-0.0014640341,-0.13330442,19.77
37,1/2016,0.061173504914599164,288.2239,5.562109082937241,3.76,20.9388264950854,27.683819,-0.003501382,-0.31881067,20.765
38,1/2016,0.06130260467179127,81.9259,1.6914206743240356,4.02,20.93869739532821,24.214024,-0.0012363946,-0.11257721,21.759999999999998
