,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price,comfort_deviation_max,episode
0,1.2947714314930912,86.27084350585938,1.864413054169586,6.548128295254832,20.38596679190188,23.253347396850586,-0.006584995426237583,-0.7336565852165222,37.72426362038664,4.42366561670606,6.0
1,3.385183921483924,45.17524719238281,0.9933262172189454,6.548128295254832,17.645577432678284,19.184188842773438,-0.014450670219957829,-1.7377549409866333,37.72426362038664,5.3450789898769795,13.0
2,1.049460108784069,86.8077392578125,1.7685925898736308,6.548128295254832,20.014949990754108,22.734222412109375,-0.005457250401377678,-0.6115374565124512,37.72426362038664,2.1089260453854237,20.0
3,0.6225673386827394,96.43321990966797,1.960798691131947,6.548128295254832,20.620545835936678,23.633169174194336,-0.0036758717615157366,-0.4077150821685791,37.72426362038664,1.826192885733711,27.0
4,0.5677507907315482,96.8775634765625,1.9469127638897283,6.548128295254832,20.561235216715474,23.552213668823242,-0.003468864830210805,-0.3807501196861267,37.72426362038664,1.5197327316981628,34.0
5,0.5051757901028028,98.43074798583984,1.9520504582326317,6.548128295254832,20.56209068658952,23.560428619384766,-0.003271660069003701,-0.3510155975818634,37.72426362038664,1.1594413418087157,41.0
6,0.2954158317472581,103.36859130859375,2.036137999905853,6.548128295254832,20.818946209024663,23.94538116455078,-0.002387504791840911,-0.2510744333267212,37.72426362038664,0.8699412432935532,48.0
7,0.2767253354765489,103.96228790283203,2.0535191927203393,6.548128295254832,20.877185854081414,24.0302677154541,-0.0023694727569818497,-0.24232237040996552,37.72426362038664,0.9203470966242335,55.0
8,0.20740552625184752,105.88531494140625,2.0835137503951633,6.548128295254832,20.967458203870105,24.16618537902832,-0.0021172533743083477,-0.209586501121521,37.72426362038664,0.7955935192850525,62.0
9,0.17507701094700504,106.42811584472656,2.0778331306990503,6.548128295254832,20.93993220882395,24.12967300415039,-0.002001682063564658,-0.19396445155143738,37.72426362038664,0.6045885655249741,69.0
10,0.15080186296528614,107.02457427978516,2.0841935356807206,6.548128295254832,20.956753249531232,24.156095504760742,-0.0019228535238653421,-0.18242314457893372,37.72426362038664,0.5453717278956063,76.0
11,0.07691035540105567,109.22843933105469,2.11889485094585,6.548128295254832,21.06187714657955,24.314058303833008,-0.0015814151847735047,-0.14768077433109283,37.72426362038664,0.386017562672869,83.0
12,0.07477772909913989,109.14894104003906,2.112598470277652,6.548128295254832,21.039859884448447,24.282350540161133,-0.0015907293418422341,-0.1465347856283188,37.72426362038664,0.3545326972187297,90.0
13,0.09037631551642794,108.66757202148438,2.0981510617297228,6.548128295254832,20.991870412938336,24.212221145629883,-0.0016991732409223914,-0.1538514643907547,37.72426362038664,0.3198772873439175,97.0
14,0.07118565209009763,109.41890716552734,2.102123184305712,6.548128295254832,20.999675248194237,24.22592544555664,-0.001626144745387137,-0.14500628411769867,37.72426362038664,0.1878769183273299,104.0
15,0.026289593425591742,110.53866577148438,2.1271411852384072,6.548128295254832,21.079889935885404,24.34437370300293,-0.0014052579645067453,-0.12368013709783554,37.72426362038664,0.2052767221820524,111.0
16,0.005068123006009914,111.9504165649414,2.1502080819414036,6.548128295254832,21.150406928979272,24.45003318786621,-0.00131895556114614,-0.11448146402835846,37.72426362038664,0.14175349059184583,118.0
17,0.020654493543482973,110.8010025024414,2.133944990392938,6.548128295254832,21.100991350237717,24.375856399536133,-0.0014207647182047367,-0.12112525850534439,37.72426362038664,0.25025060045309644,124.0
18,0.0025253726161941757,112.1880111694336,2.1522873664834585,6.548128295254832,21.15562255676621,24.458370208740234,-0.001351504703052342,-0.11344806104898453,37.72426362038664,0.14027852837357457,131.0
19,0.007719784256587504,111.374267578125,2.138876302511495,6.548128295254832,21.114096211264073,24.396387100219727,-0.0013930470449849963,-0.11523256450891495,37.72426362038664,0.20344573747430772,138.0
20,0.0077652313736040176,112.91719818115234,2.1780611420662415,6.548128295254832,21.242322542917737,24.58457374572754,-0.0014217220013961196,-0.1167975440621376,37.72426362038664,0.27194265015053887,145.0
21,0.008714208993859836,113.71925354003906,2.193673861665759,6.548128295254832,21.289380794775745,24.655393600463867,-0.001442193752154708,-0.1180734783411026,37.72426362038664,0.3414390374066869,152.0
22,0.005280924613628587,112.90919494628906,2.1694241569310373,6.548128295254832,21.208382093540187,24.5372371673584,-0.0014197115087881684,-0.1155458390712738,37.72426362038664,0.28278532329609973,159.0
23,0.00621834933527067,112.41990661621094,2.1577767845668774,6.548128295254832,21.169444645647783,24.480459213256836,-0.0014279859606176615,-0.11552346497774124,37.72426362038664,0.3053828878477667,166.0
24,0.004024597786936866,114.03427124023438,2.189285221350214,6.548128295254832,21.26911701142583,24.628236770629883,-0.0014434938784688711,-0.1160421147942543,37.72426362038664,0.29861179733894616,173.0
25,0.00770303298031673,113.11480712890625,2.1785143948187935,6.548128295254832,21.23914210792467,24.581953048706055,-0.0014678179286420345,-0.11696310341358185,37.72426362038664,0.33282876278493845,180.0
26,0.008487952490146349,112.46379089355469,2.1652285747243147,6.548128295254832,21.19724468248446,24.51980209350586,-0.0014746045926585793,-0.11670546978712082,37.72426362038664,0.31426661344256956,187.0
27,0.0073799357560303865,112.19744873046875,2.1573640020429985,6.548128295254832,21.171198886571464,24.481706619262695,-0.0014714595163241029,-0.1158839613199234,37.72426362038664,0.2902652224913176,194.0
28,0.001813859669231104,113.19713592529297,2.166863897547571,6.548128295254832,21.196857838870155,24.521713256835938,-0.0014553789515048265,-0.11409967392683029,37.72426362038664,0.20976205544150517,201.0
