#{"t_start": 1647577608.600407, "env_id": null}
r,l,t
-8937.8521,2880,19.277853
-8987.972493,2880,38.597432
-7647.093951,2880,60.212906
-6526.085261,2880,79.17957
-10952.614402,2880,94.525986
-10228.64578,2880,139.573205
-8051.881659,2880,158.584701
-6798.082469,2880,180.555498
-5092.726384,2880,199.818011
-10101.814395,2880,221.871624
-9041.891825,2880,241.393747
-5367.893527,2880,255.634857
-3417.194671,2880,301.962478
-7023.390528,2880,321.425775
-6035.767094,2880,342.693894
-4590.240878,2880,362.042828
-9860.046634,2880,381.08629
-5336.94987,2880,402.333686
-5087.909924,2880,417.962329
-3221.989888,2880,466.021541
-3323.180545,2880,485.191159
-4600.506827,2880,504.72708
-1832.459851,2880,526.122441
-3784.97476,2880,545.246467
-2772.762075,2880,566.281761
-3178.359972,2880,582.729993
-3901.043431,2880,629.322945
-7067.497244,2880,650.785379
-3177.836409,2880,669.996654
-4541.957338,2880,691.470236
-5393.803929,2880,710.717849
-6745.683331,2880,730.229053
-5116.005533,2880,777.779138
-7232.769352,2880,796.998913
-6951.179471,2880,818.417315
-3114.731947,2880,831.479214
-4454.684183,2880,846.573028
-5248.819729,2880,859.631836
-6577.894797,2880,872.683738
-4994.066438,2880,925.186663
-7107.872013,2880,938.266717
-6865.431373,2880,953.324455
-3110.809855,2880,966.370864
-4442.862925,2880,979.412583
-9819.732425,2880,994.53655
-8647.977062,2880,1007.558503
-4996.308252,2880,1060.099237
-6862.764379,2880,1073.200884
-5873.777405,2880,1086.282268
-3108.966775,2880,1101.315537
-9795.564127,2880,1114.361632
-5213.212883,2880,1129.448629
-4983.661121,2880,1142.522124
-3126.092954,2880,1193.13797
-7097.295598,2880,1208.264438
-3255.736216,2880,1221.318998
-4490.490724,2880,1236.485236
-8211.633104,2880,1249.588058
-3691.297551,2880,1262.679724
-2732.935736,2880,1280.390554
-3107.462698,2880,1326.771589
-7089.895098,2880,1348.558592
-3239.207565,2880,1365.520727
-4477.064567,2880,1378.570789
-1805.033389,2880,1395.470985
-3693.123482,2880,1414.911341
-2743.909334,2880,1436.359264
-3109.339146,2880,1482.844186
-7074.192338,2880,1505.483315
-3235.893106,2880,1523.538724
-4477.297835,2880,1536.579239
-1788.54678,2880,1552.737158
-3682.488244,2880,1572.00507
-2720.421545,2880,1593.471696
-3093.155316,2880,1639.785568
-6810.830844,2880,1659.562364
-5803.961294,2880,1680.197662
-4380.48883,2880,1693.283384
-9807.064857,2880,1710.273356
-8606.962541,2880,1729.861198
-4933.462707,2880,1749.600013
-3076.435894,2880,1798.92211
-6802.099005,2880,1818.227266
-5809.481093,2880,1838.901978
-4368.044872,2880,1851.994829
-9793.679345,2880,1865.692431
-5179.038803,2880,1887.330287
-4936.854236,2880,1906.567188
-3077.620571,2880,1955.255626
-6798.268737,2880,1974.654097
-5799.743698,2880,1993.655813
-3035.35784,2880,2008.783257
-9801.582765,2880,2022.085823
-5169.681606,2880,2043.398513
-4919.183238,2880,2062.844682
-3055.213198,2880,2108.94804
-7049.615129,2880,2130.273845
-3186.55096,2880,2149.837107
-4427.525501,2880,2165.061464
-8177.173683,2880,2178.092772
-3638.916335,2880,2199.234935
-4918.02654,2880,2218.599221
-3052.891173,2880,2265.108641
-7043.26879,2880,2286.752697
-3179.67039,2880,2306.105925
-4430.626253,2880,2321.235422
-8170.884104,2880,2334.279503
-3636.820776,2880,2353.745524
-2669.939372,2880,2375.050563
-3052.042756,2880,2421.220384
-6773.917316,2880,2443.679241
-3023.585656,2880,2463.325324
-4355.295465,2880,2476.988116
-9791.468589,2880,2492.077656
-8593.125511,2880,2511.226984
-4919.568591,2880,2533.109785
-3738.797149,2880,2579.882417
-6783.423202,2880,2599.634413
-5783.658048,2880,2621.359898
-4357.764938,2880,2635.363239
-9785.531086,2880,2650.508114
-8593.502301,2880,2669.150192
-4914.763719,2880,2688.794039
-3061.163496,2880,2738.121724
-6789.472796,2880,2757.326504
-5781.807141,2880,2778.71064
-4347.764213,2880,2793.703764
-9801.899276,2880,2806.725074
-5157.570295,2880,2826.653798
-4921.84588,2880,2845.918308
-3062.406236,2880,2894.210703
-6783.855499,2880,2913.645801
-5780.084665,2880,2935.016828
-4357.556847,2880,2949.204105
-9802.423821,2880,2962.287835
-5154.513705,2880,2982.353141
-4913.340858,2880,3001.92506
-3051.057402,2880,3050.471672
-3171.101395,2880,3069.614065
-4430.029312,2880,3089.096001
-1712.564061,2880,3106.012463
-3630.993287,2880,3119.107873
-2656.421543,2880,3138.565674
-3050.993469,2880,3158.038998
-3733.509456,2880,3204.696343
-6782.253802,2880,3225.962942
-3020.28623,2880,3245.358345
-4344.362818,2880,3263.076914
-5150.830832,2880,3276.143283
-6461.642001,2880,3293.191322
-4910.461275,2880,3314.400034
-3730.069994,2880,3361.158056
-6775.897443,2880,3383.306497
-3023.004684,2880,3402.865882
-4344.907489,2880,3419.043657
-9784.91871,2880,3434.124807
-8583.57187,2880,3450.410081
-4912.839533,2880,3499.355665
-7045.109809,2880,3518.697003
-6777.336616,2880,3537.915015
-5784.149723,2880,3559.972322
-4363.217772,2880,3576.586451
-9798.401691,2880,3591.656325
-8585.341046,2880,3607.203711
-4904.551456,2880,3656.116748
-6776.514211,2880,3675.572633
-5769.395229,2880,3694.901331
-3023.012314,2880,3716.356626
-9787.624836,2880,3732.9424
-5140.371486,2880,3748.058208
-4905.599837,2880,3763.96938
-3049.540505,2880,3810.616334
