#{"t_start": 1649241857.7357442, "env_id": null}
r,l,t
-26214.811803,2880,10.12064
-33457.314008,2880,20.228064
-25248.443287,2880,32.127552
-28077.95194,2880,42.273076
-26945.782292,2880,54.181158
-23607.50208,2880,64.294022
-21097.842419,2880,93.656515
-19263.071188,2880,105.498924
-10746.304614,2880,115.609107
-12583.751343,2880,127.452623
-18304.686568,2880,137.566231
-12281.296635,2880,147.66676
-13957.101072,2880,159.488224
-11938.295365,2880,188.793901
-30590.349503,2880,200.62856
-14739.496272,2880,210.732612
-14415.316172,2880,220.836342
-6259.185905,2880,232.672722
-9152.858009,2880,242.781924
-18312.711961,2880,254.629823
-13989.386265,2880,283.959215
-31883.057811,2880,294.048439
-20451.388228,2880,305.879812
-12857.343113,2880,315.975008
-4559.942933,2880,327.812063
-9323.781041,2880,337.903111
-20167.926995,2880,347.996385
-12420.860978,2880,379.061898
-32103.245974,2880,389.159478
-26142.46884,2880,401.01336
-20204.055278,2880,411.113254
-18593.786174,2880,421.212353
-30685.445451,2880,433.044753
-21519.648902,2880,443.143702
-12613.640148,2880,474.172359
-18875.818759,2880,484.272705
-15880.676187,2880,496.100269
-13061.045374,2880,506.198884
-29894.718162,2880,516.278112
-19257.042682,2880,528.107032
-12185.927975,2880,538.183631
-14287.627587,2880,569.196338
-14273.013697,2880,579.287523
-15760.981038,2880,589.365159
-15267.244807,2880,601.197581
-27864.472411,2880,611.280035
-17925.463804,2880,623.101475
-12957.732435,2880,633.19352
-15034.838674,2880,662.489673
-33644.891657,2880,674.334283
-16304.282027,2880,684.428463
-14125.149913,2880,696.271631
-27536.979962,2880,706.362686
-15781.489573,2880,716.456498
-15449.718912,2880,728.300003
-13146.343959,2880,757.613241
-27484.770758,2880,769.461202
-11974.628284,2880,779.566646
-12663.508962,2880,789.660938
-4632.698652,2880,801.504009
-9065.926635,2880,811.6016
-16785.328814,2880,823.42338
-14173.526499,2880,852.733522
-5748.825037,2880,862.830584
-12019.145347,2880,874.661523
-4633.2683,2880,884.752916
-26068.525862,2880,896.600055
-17055.134319,2880,906.687243
-13349.892108,2880,918.529853
-8296.301788,2880,947.827404
-5317.938081,2880,957.921111
-11648.189564,2880,969.750837
-4378.051767,2880,979.853136
-23658.958351,2880,991.705127
-15891.558646,2880,1001.809014
-12715.736331,2880,1011.887907
-13207.79571,2880,1042.928753
-4817.547499,2880,1053.01972
-10927.835033,2880,1064.857549
-4274.471913,2880,1074.96809
-21316.906071,2880,1085.063523
